Nom;ID;Latitude;Longitude;Coordonnées
PATHE;5964;50.803985;4.302232;50.803985, 4.302232
PATTIJN;4207;50.891014;4.325348;50.891014, 4.325348
PATTON;7374;50.817667;4.366581;50.817667, 4.366581
PAULSEN;1257;50.843753;4.300131;50.843753, 4.300131
PELLENBERG;9706;50.914159;4.435217;50.914159, 4.435217
PETILLON;5352;50.829546;4.402804;50.829546, 4.402804
PETILLON;8211;50.827766;4.403882;50.827766, 4.403882
PETIT SABLON;6312;50.840141;4.356387;50.840141, 4.356387
PICARDIE;3102;50.879566;4.396646;50.879566, 4.396646
PLACE REINE ASTRID;6804F;50.873287;4.325705;50.873287, 4.325705
PLACE SAINT-JOB;2152;50.794681;4.366780;50.794681, 4.36678
PLAINE DES SPORTS;1617;50.843551;4.487266;50.843551, 4.487266
PLASKY;1515;50.851519;4.394513;50.851519, 4.394513
PLASKY;3216;50.851141;4.395961;50.851141, 4.395961
PLEIADES;3903;50.853885;4.417506;50.853885, 4.417506
PONT ALBERT;5958;50.882822;4.384185;50.882822, 4.384185
POPLIMONT;9101;50.872655;4.320122;50.872655, 4.320122
PORTE D'ANDERLECHT;2214;50.844911;4.338680;50.844911, 4.33868
PORTE DE HAL;0703;50.832434;4.342988;50.832434, 4.342988
LA CHASSE;6115F;50.830457;4.389647;50.830457, 4.389647
LEFRANCQ;6260;50.861626;4.367787;50.861626, 4.367787
LEFRANCQ;6012F;50.861276;4.367545;50.861276, 4.367545
LEFRANCQ;6066F;50.861500;4.367560;50.8615, 4.36756
LEGRELLE;1000;50.875262;4.320517;50.875262, 4.320517
LEKAERTS;3300;50.871509;4.405321;50.871509, 4.405321
LEMONNIER;6657;50.840210;4.340613;50.84021, 4.340613
LENOIR;6867F;50.876560;4.328089;50.87656, 4.328089
LEOPOLD I;2505;50.873369;4.329086;50.873369, 4.329086
LEOPOLD III;5308F;50.856750;4.397569;50.85675, 4.397569
LEROY;2567;50.856901;4.309401;50.856901, 4.309401
LEVIE;1561;50.848054;4.408895;50.848054, 4.408895
LEVURE;3152;50.828122;4.376289;50.828122, 4.376289
LEVURE;3124G;50.828089;4.375780;50.828089, 4.37578
LEVURE;6158F;50.828392;4.376218;50.828392, 4.376218
