from_stop_id,to_stop_id,line,departure,arrival
705,707,51,2016-03-22 15:06:39.404108,2016-03-22 15:08:17.900059
707,2956,51,2016-03-22 15:08:17.900059,2016-03-22 15:09:18.034627
2956,5848,51,2016-03-22 15:09:18.034627,2016-03-22 15:10:20.207232
5848,5812,51,2016-03-22 15:10:20.207232,2016-03-22 15:13:18.459618
5812,5813,51,2016-03-22 15:13:18.459618,2016-03-22 15:14:59.127675
5813,5814,51,2016-03-22 15:14:59.127675,2016-03-22 15:16:18.6033
5814,5815,51,2016-03-22 15:16:18.6033,2016-03-22 15:19:39.092049
5815,5816,51,2016-03-22 15:19:39.092049,2016-03-22 15:21:19.260688
5816,1926,51,2016-03-22 15:21:19.260688,2016-03-22 15:23:19.828428
1926,1928,51,2016-03-22 15:23:19.828428,2016-03-22 15:24:59.015866
1928,5817,51,2016-03-22 15:24:59.015866,2016-03-22 15:26:18.906846
5817,5825,51,2016-03-22 15:26:18.906846,2016-03-22 15:27:59.22699
5825,5826,51,2016-03-22 15:27:59.22699,2016-03-22 15:29:40.23438
5826,5823,51,2016-03-22 15:29:40.23438,2016-03-22 15:31:19.189828
5402,4209,51,2016-03-22 14:39:39.029579,2016-03-22 14:40:36.605009
4209,5403,51,2016-03-22 14:40:36.605009,2016-03-22 14:41:56.878112
5403,5010,51,2016-03-22 14:41:56.878112,2016-03-22 14:43:36.804631
5010,2869,51,2016-03-22 14:43:36.804631,2016-03-22 14:44:38.852674
2869,5006,51,2016-03-22 14:44:38.852674,2016-03-22 14:45:37.249298
5006,5007,51,2016-03-22 14:45:37.249298,2016-03-22 14:47:18.707707
5007,5008,51,2016-03-22 14:47:18.707707,2016-03-22 14:48:58.266636
5008,5009,51,2016-03-22 14:48:58.266636,2016-03-22 14:50:17.757749
5009,5011,51,2016-03-22 14:50:17.757749,2016-03-22 14:51:37.599725
5011,5015,51,2016-03-22 14:51:37.599725,2016-03-22 14:54:17.34791
5015,5013,51,2016-03-22 14:54:17.34791,2016-03-22 14:55:17.824044
5013,5014,51,2016-03-22 14:55:17.824044,2016-03-22 14:56:59.581969
5014,6651,51,2016-03-22 14:56:59.581969,2016-03-22 14:58:38.586308
6651,6652,51,2016-03-22 14:58:38.586308,2016-03-22 15:00:18.567465
6652,6654,51,2016-03-22 15:00:18.567465,2016-03-22 15:01:58.504693
6654,3223,51,2016-03-22 15:01:58.504693,2016-03-22 15:04:18.493494
3223,6650,51,2016-03-22 15:04:18.493494,2016-03-22 15:05:18.193144
6650,6655,51,2016-03-22 15:05:18.193144,2016-03-22 15:06:18.159242
6655,6656,51,2016-03-22 15:06:18.159242,2016-03-22 15:07:18.309197
6656,6657,51,2016-03-22 15:07:18.309197,2016-03-22 15:09:18.034627
6657,702,51,2016-03-22 15:09:18.034627,2016-03-22 15:11:18.757373
702,703,51,2016-03-22 15:11:18.757373,2016-03-22 15:12:58.32323
703,704,51,2016-03-22 15:12:58.32323,2016-03-22 15:13:59.013659
704,705,51,2016-03-22 15:13:59.013659,2016-03-22 15:15:38.389651
705,707,51,2016-03-22 15:15:38.389651,2016-03-22 15:17:19.067099
707,2956,51,2016-03-22 15:17:19.067099,2016-03-22 15:19:18.317368
2956,5848,51,2016-03-22 15:19:18.317368,2016-03-22 15:20:39.845426
5848,5812,51,2016-03-22 15:20:39.845426,2016-03-22 15:23:39.680071
5812,5813,51,2016-03-22 15:23:39.680071,2016-03-22 15:25:39.580083
5813,5814,51,2016-03-22 15:25:39.580083,2016-03-22 15:26:59.243215
5814,5815,51,2016-03-22 15:26:59.243215,2016-03-22 15:30:39.373112
5815,5816,51,2016-03-22 15:30:39.373112,2016-03-22 15:32:21.135467
5816,1926,51,2016-03-22 15:32:21.135467,2016-03-22 15:33:59.654644
1926,1928,51,2016-03-22 15:33:59.654644,2016-03-22 15:35:59.754569
1928,5817,51,2016-03-22 15:35:59.754569,2016-03-22 15:37:19.63184
5817,5825,51,2016-03-22 15:37:19.63184,2016-03-22 15:38:59.703908
5825,5826,51,2016-03-22 15:38:59.703908,2016-03-22 15:41:08.490269
5826,5823,51,2016-03-22 15:41:08.490269,2016-03-22 15:42:09.821584
1290,5402,51,2016-03-22 16:39:00.970849,2016-03-22 16:39:20.570852
5402,4209,51,2016-03-22 16:39:20.570852,2016-03-22 16:40:41.300546
4209,5403,51,2016-03-22 16:40:41.300546,2016-03-22 16:41:41.788221
5403,5010,51,2016-03-22 16:41:41.788221,2016-03-22 16:43:01.702137
5010,2869,51,2016-03-22 16:43:01.702137,2016-03-22 16:44:01.770797
2869,5006,51,2016-03-22 16:44:01.770797,2016-03-22 16:45:21.0564
5006,5007,51,2016-03-22 16:45:21.0564,2016-03-22 16:46:41.465083
5007,5008,51,2016-03-22 16:46:41.465083,2016-03-22 16:49:01.968657
5008,5009,51,2016-03-22 16:49:01.968657,2016-03-22 16:50:22.31349
5009,5011,51,2016-03-22 16:50:22.31349,2016-03-22 16:51:41.503998
5011,5015,51,2016-03-22 16:51:41.503998,2016-03-22 16:54:42.486734
5015,5013,51,2016-03-22 16:54:42.486734,2016-03-22 16:56:02.900379
5013,5014,51,2016-03-22 16:56:02.900379,2016-03-22 16:57:22.194185
5014,6651,51,2016-03-22 16:57:22.194185,2016-03-22 16:59:21.421793
6651,6652,51,2016-03-22 16:59:21.421793,2016-03-22 17:01:21.638509
6652,6654,51,2016-03-22 17:01:21.638509,2016-03-22 17:03:41.716429
6654,3223,51,2016-03-22 17:03:41.716429,2016-03-22 17:06:21.440608
3223,6650,51,2016-03-22 17:06:21.440608,2016-03-22 17:07:21.887055
6650,6655,51,2016-03-22 17:07:21.887055,2016-03-22 17:08:42.094751
6655,6656,51,2016-03-22 17:08:42.094751,2016-03-22 17:09:41.671791
6656,6657,51,2016-03-22 17:09:41.671791,2016-03-22 17:11:21.880654
6657,702,51,2016-03-22 17:11:21.880654,2016-03-22 17:14:02.211804
702,703,51,2016-03-22 17:14:02.211804,2016-03-22 17:15:43.287195
1290,5402,51,2016-03-22 17:03:21.609652,2016-03-22 17:03:41.716429
5402,4209,51,2016-03-22 17:03:41.716429,2016-03-22 17:04:45.07144
4209,5403,51,2016-03-22 17:04:45.07144,2016-03-22 17:06:02.142845
5403,5010,51,2016-03-22 17:06:02.142845,2016-03-22 17:07:21.887055
5010,2869,51,2016-03-22 17:07:21.887055,2016-03-22 17:08:22.062037
2869,5006,51,2016-03-22 17:08:22.062037,2016-03-22 17:09:41.671791
5006,5007,51,2016-03-22 17:09:41.671791,2016-03-22 17:11:01.750124
5007,5008,51,2016-03-22 17:11:01.750124,2016-03-22 17:12:42.061117
5008,5009,51,2016-03-22 17:12:42.061117,2016-03-22 17:14:02.211804
5009,5011,51,2016-03-22 17:14:02.211804,2016-03-22 17:15:22.178456
