departure,arrival,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2016-01-28 17:11:06.727104,2016-01-28 17:20:27.167840,,39.975262,100.270021,79.553581,80.052339,60.298449,80.194431,120.096653,,,,,,,,,,
2016-01-28 17:24:07.228524,2016-01-28 17:47:28.460379,,40.00261,119.827059,39.985568,80.528701,79.603561,80.335231,79.942491,160.195268,19.944968,80.106649,80.073559,100.075901,80.225778,80.087472,79.746396,120.709657,79.840986
2016-01-28 17:23:27.341566,2016-01-28 17:39:27.878067,,,,,,,39.886958,99.878818,99.936419,80.528701,79.603561,60.235241,79.806539,180.43121,19.944968,80.106649,60.329068,79.848369
2016-01-28 17:23:27.341566,2016-01-28 17:33:27.310341,,,,,,,,,,,39.886958,99.878818,59.950851,120.514269,79.603561,60.235241,79.806539,60.092538
2016-01-28 17:30:07.176023,2016-01-28 17:53:48.741397,,40.248976,60.099015,79.992561,140.132438,19.944968,80.106649,60.329068,119.820392,60.237089,100.076161,59.955116,79.878031,120.045971,140.179199,60.006614,100.219116,100.29401
2016-01-28 17:36:27.789095,2016-01-28 17:59:48.884855,,19.982132,80.258471,119.820392,60.237089,100.076161,59.955116,79.878031,60.622906,159.762978,60.027335,59.839062,80.198619,100.29401,99.769711,80.185124,79.98714,100.201483
2016-01-28 17:47:28.460379,2016-01-28 18:08:49.007749,,39.86257,79.898708,60.006614,100.219116,100.29401,39.782602,80.296164,59.876069,99.828577,80.360046,100.205132,59.880557,100.031515,79.938865,120.465837,19.937709,59.663279
2016-01-28 17:51:28.395759,2016-01-28 18:07:49.344470,,40.051628,100.29401,39.782602,80.296164,99.987467,59.717179,80.360046,100.205132,59.880557,100.031515,79.938865,40.436393,99.967153,,,,
2016-01-28 18:01:29.089987,2016-01-28 18:23:49.708070,,59.880557,100.031515,79.938865,40.436393,80.029444,99.807663,100.103096,79.822184,60.334226,79.697791,101.347419,59.330757,120.422419,59.347606,100.212068,59.873791,60.002289
2016-01-28 18:07:49.344470,2016-01-28 18:30:30.093748,,20.829043,159.144007,19.646166,100.144476,40.113497,100.588257,60.709224,79.423222,100.329954,59.347606,100.212068,59.873791,160.253611,59.874965,100.094512,42.59822,97.566659
2016-01-28 18:07:29.406761,2016-01-28 18:17:09.849897,,,,,,,,,,,,79.600988,120.309771,79.822184,60.334226,120.335986,60.709224,59.330757
2016-01-28 18:15:09.809916,2016-01-28 18:30:30.093748,,60.709224,59.330757,59.775179,80.083909,140.123005,19.775497,59.989687,140.362218,159.969477,42.59822,97.566659,,,,,,
2016-01-28 18:20:49.735181,2016-01-28 18:42:30.440327,,60.096809,59.873791,60.002289,100.251322,59.874965,100.094512,42.59822,97.566659,120.091704,40.176492,59.752766,100.247103,79.641864,100.645591,59.585242,100.307507,59.89831
2016-01-28 18:27:09.918383,2016-01-28 18:48:50.613646,,60.010486,42.59822,97.566659,120.091704,40.176492,59.752766,100.247103,59.90161,120.385845,59.585242,40.31706,100.064259,80.866058,79.094773,80.319728,99.803136,59.914122
2016-01-28 18:34:30.163198,2016-01-28 18:47:50.699524,,19.988229,80.559081,99.384993,60.553767,79.595121,80.297628,80.041105,119.993538,40.132564,60.054916,79.935384,,,,,,
2016-01-28 18:32:30.185452,2016-01-28 18:37:10.003677,,,,,,,,,,,,,,,99.929258,40.036717,80.559081,59.293169
2016-01-28 18:39:50.234510,2016-01-28 18:50:50.905032,,20.009879,80.297628,59.89831,140.136333,40.132564,60.054916,99.738588,140.435945,19.966359,,,,,,,,
2016-01-28 18:53:31.084929,2016-01-28 19:07:51.369144,,,,,,,,120.11676,19.95007,79.947011,60.402842,79.936521,60.063353,119.905541,100.365294,79.892047,60.119762,79.585014
2016-01-28 18:53:31.084929,2016-01-28 19:01:51.201339,,,,,,,,,,,,,120.11676,39.854982,80.082348,80.359445,80.046643,99.656232
2016-01-28 18:55:31.201689,2016-01-28 19:14:52.025180,,,,,59.861858,100.438065,99.696891,120.002836,80.266853,80.379233,59.816943,80.11597,59.588806,160.50876,80.036093,39.93537,120.481489,19.694324
2016-01-28 19:01:51.201339,2016-01-28 19:20:32.422051,,,,,80.266853,60.304129,79.892047,99.942283,100.07166,100.199593,80.036093,39.93537,120.481489,40.436253,80.227363,102.320098,56.966694,80.140787
2016-01-28 19:04:51.634177,2016-01-28 19:10:31.877904,,40.030191,99.942283,60.046345,140.224908,,,,,,,,,,,,,
2016-01-28 19:10:31.877904,2016-01-28 19:31:12.721599,,80.036093,160.416859,40.436253,80.227363,79.43062,79.856172,80.140787,79.913266,99.897277,40.370012,80.21044,80.196635,139.610794,40.016332,80.084792,,
2016-01-28 19:14:32.330856,2016-01-28 19:26:53.009681,,,,,,,,,,120.663616,79.43062,39.934167,59.91434,119.956643,120.002352,40.370012,80.21044,80.196635
2016-01-28 19:19:12.281264,2016-01-28 19:31:33.094799,,19.992335,79.980218,79.917108,80.061669,60.364089,81.180019,59.232979,139.610794,80.299047,60.175277,,,,,,,
2016-01-28 19:26:13.578952,2016-01-28 19:31:33.094799,,19.617827,80.058013,79.365683,80.299047,60.175277,,,,,,,,,,,,
2016-01-28 19:31:52.739361,2016-01-28 19:37:13.243531,,140.34173,40.454731,59.474205,80.233504,,,,,,,,,,,,,
2016-01-28 19:34:13.081091,2016-01-28 19:46:13.230283,,,,,,,,,80.016294,79.919568,60.20215,99.776951,60.009184,80.302572,40.264312,79.838177,60.107338,79.712646
2016-01-28 19:34:13.081091,2016-01-28 19:40:53.374106,,,,,,,,,,,,,,99.928936,80.233504,139.752523,60.009184,20.368868
2016-01-28 19:37:53.219103,2016-01-28 19:59:14.004535,,99.776951,80.378052,59.933704,79.931583,100.278244,39.796011,60.284667,79.996807,80.015742,61.393789,78.773259,79.697637,80.804995,119.781912,59.852565,60.204917,59.884597
2016-01-28 19:39:32.996054,2016-01-28 19:52:53.475549,,,,,,,,60.009184,80.302572,79.931583,100.278244,39.796011,60.284667,99.992559,80.047098,80.163914,80.038322,39.635341
2016-01-28 19:48:33.829563,2016-01-28 20:06:14.500714,,19.705999,100.203157,60.039193,79.697637,80.804995,59.550076,60.231836,179.942079,100.73585,59.996064,60.021864,79.761489,119.980912,,,,
2016-01-28 19:46:53.465282,2016-01-28 20:06:34.736991,,,100.364281,59.808409,80.163914,80.038322,59.953384,60.486952,119.781912,59.852565,41.067794,79.02172,80.316694,60.142434,80.29465,79.761489,79.880321,60.336868
2016-01-28 19:59:14.004535,2016-01-28 20:19:35.007115,,80.316694,20.419156,79.6946,59.569912,80.26078,60.134446,60.336868,79.56462,119.988061,20.626109,79.67815,80.228797,80.050283,99.941852,60.093701,80.01924,80.079311
2016-01-28 20:05:34.400123,2016-01-28 20:22:55.271034,,40.100591,99.800897,119.988061,20.626109,79.67815,60.063903,100.215177,39.915724,99.943483,60.226943,59.816236,80.31171,99.883346,80.300581,,,
2016-01-28 20:21:34.970453,2016-01-28 20:39:15.904369,,,,,,80.300581,79.76841,101.52074,58.893468,39.633161,60.064449,80.260366,80.120188,179.976313,60.067496,80.075064,60.154818,100.098862
2016-01-28 20:31:35.612695,2016-01-28 20:39:15.904369,,40.127443,119.767991,60.067496,80.075064,79.844169,80.409511,,,,,,,,,,,
2016-01-28 20:45:16.908597,2016-01-28 20:59:36.850460,,,,,,,59.506029,59.736727,80.104277,60.073254,100.210105,40.5452,79.609318,99.555929,80.22091,80.269986,60.526547,59.583581
2016-01-28 20:45:16.908597,2016-01-28 20:53:36.721240,,,,,,,,,,,,19.081126,80.557206,99.708701,80.274189,80.00917,80.027277,60.154974
2016-01-28 20:56:56.775039,2016-01-28 21:05:36.868093,,39.965293,60.526547,59.583581,100.394273,59.814766,100.011555,39.950483,59.846556,,,,,,,,,
